"id","catalog_number","description"
"2851788","VGF15FLA","CPR-WDK VGF15FLA GFCI Deco Duplex 15A 125V LA NAFTA"
"2851787","VGF15FGY","CPR-WDK VGF15FGY GFCI Deco Duplex 15A 125V GY NAFTA"
"2851786","VGF15FBK","CPR-WDK VGF15FBK GFCI Deco Duplex 15A 125V BK NAFTA"
"2851785","VGF15FB","CPR-WDK VGF15FB GFCI Deco Duplex 15A 125V BR NAFTA"
"2851784","VGF15BMOD","CPR-WDK VGF15BMOD GFCI Deco Duplex 15A 125V MOD BR"
"2851783","VGF15BKMOD","CPR-WDK VGF15BKMOD GFCI Deco Duplex 15A 125V MOD BK"
"2851782","VGF15BK","CPR-WDK VGF15BK GFCI Deco Duplex 15A 125V BK"
"2851781","VGF15B","CPR-WDK VGF15B GFCI Deco Duplex 15A 125V BR"
"2851780","VGF15AMOD","CPR-WDK VGF15AMOD GFCI Deco Duplex 15A 125V MOD AL"
"2851779","VGF15A-M","CPR-WDK VGF15A-M GFCI Deco Duplex 15A 125V Mid Wlplt AL"
"2851778","VGF15A","CPR-WDK VGF15A GFCI Deco Duplex 15A 125V AL"
"2851777","U1263","CPR-WDK U1263 Recp Single Panel Mount 30A 125V 2P3W BK"
"2851776","TWRVGF20W-SPL","CPR-WDK TWRVGF20W-SPL GFCI TR WR Deco Duplex 20A 125V WH"
"2851775","TWRVGF20W-SP","CPR-WDK TWRVGF20W-SP GFCI TR WR Deco Duplex 20A 125V WH"
"2851774","TWRVGF20V","CPR-WDK TWRVGF20V GFCI TR WR Deco Duplex 20A 125V IV"
"2851773","TWRVGF20LA","CPR-WDK TWRVGF20LA TAMP/WEATHER RESIST 20A GFCI LGHT ALMOND"
"2851772","TWRVGF20GY","CPR-WDK TWRVGF20GY TAMPER / WEATHER RESIST 20A GFCI GY"
"2851771","TWRVGF20FW","CPR-WDK TWRVGF20FW GFCI TR WR Deco Duplex 20A 125V WH NAFTA"
"2851770","TWRVGF20FV","CPR-WDK TWRVGF20FV GFCI TR WR Deco Duplex 20A 125V IV NAFTA"
"2851769","TWRVGF20FLA","CPR-WDK TWRVGF20FLA GFCI TR WR Deco Duplex 20A 125V LA NAFTA"
"2851768","TWRVGF20FGY","CPR-WDK TWRVGF20FGY GFCI TR WR Deco Duplex 20A 125V GY NAFTA"
"2851767","TWRVGF20FB","CPR-WDK TWRVGF20FB GFCI TR WR Deco Duplex 20A 125V BR NAFTA"
"2851766","TWRVGF20B","CPR-WDK TWRVGF20B TAMPER / WEATHER RESIST 20A GFCI BROWN"
"2851765","TWRVGF20A","CPR-WDK TWRVGF20A GFCI TR WR Deco Duplex 20A 125V AL"
"2851764","TWRVGF15W-SP","CPR-WDK TWRVGF15W-SP GFCI TR WR Deco Duplex 15A 125V WH"
"2851763","TWRVGF15W","CPR-WDK TWRVGF15W GFCI TR WR Deco Duplex 15A 125V WH"
"2851762","TWRVGF15V","CPR-WDK TWRVGF15V GFCI TR WR Deco Duplex 15A 125V IV"
"2851761","TWRVGF15LA","CPR-WDK TWRVGF15LA GFCI TR WR Deco Duplex 15A 125V LA"
"2851760","TWRVGF15GY","CPR-WDK TWRVGF15GY GFCI TR WR Deco Duplex 15A 125V GY"
