id,catalog_number,chain_technical_data
396515,2082A23,Size:C2082 |Pitch:2.000 in|Inside Width :0.625 in|Roller Diameter :1.125 in
396531,T80B23,Pitch:1.000 in|Chain Size:80-3 
396487,35B45FP,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
396523,2052A17,Size:C2052 |Pitch:1.250 in|Inside Width :0.375 in|Roller Diameter :0.750 in
396535,60JA11,Pitch:0.750 in|Chain Size:60 
396463,2042A21,Size:C2042 |Pitch:1.000 in|Inside Width :0.312 in|Roller Diameter :0.625 in
396503,60B40F-1F,Pitch:0.750 in|Chain Size:60 
396499,40B35FJ,Pitch:0.500 in|Chain Size:40 
396547,T80B12,Pitch:1.000 in|Chain Size:80-3 
396398,D60B18,Pitch:0.750 in|Chain Size:60-2 
396543,D50ATL19,Pitch:0.625 in|Chain Size:50-2 
396511,2052A13,Size:C2052 |Pitch:1.250 in|Inside Width :0.375 in|Roller Diameter :0.750 in
396568,T50B12,Pitch:0.625 in|Chain Size:50-3 
396555,60B54F-2G,Pitch:0.750 in|Chain Size:60 
396629,140M70,Pitch:1.750 in|Chain Size:140 
396621,120SF13,Pitch:1.500 in|Chain Size:120 
396625,40B21FL,Pitch:0.500 in|Chain Size:40 
396645,120F32,Pitch:1.500 in|Chain Size:120 
394896,50B17F-1H,Pitch:0.625 in|Chain Size:50 
394892,50B17FL,Pitch:0.625 in|Chain Size:50 
396633,140F36,Pitch:1.750 in|Chain Size:140 
394908,60B38F-1F,Pitch:0.750 in|Chain Size:60 
394912,60B20SS,Pitch:0.750 in|Chain Size:60 
394945,50B12F-1D,Pitch:0.625 in|Chain Size:50 
