id,catalog_number,cad,type
132332,053042,https://mro-host.herokuapp.com/file_download/?name=baldor2d_053042_front.dxf,front
132332,053042,https://mro-host.herokuapp.com/file_download/?name=baldor2d_053042_right.dxf,right
132332,053042,https://mro-host.herokuapp.com/file_download/?name=baldor2d_053042_top.dxf,top
791672,136755,https://mro-host.herokuapp.com/file_download/?name=baldor2d_136755_front.dxf,front
791672,136755,https://mro-host.herokuapp.com/file_download/?name=baldor2d_136755_right.dxf,right
791672,136755,https://mro-host.herokuapp.com/file_download/?name=baldor2d_136755_top.dxf,top
124957,034329,https://mro-host.herokuapp.com/file_download/?name=baldor2d_034329_front.dxf,front
124957,034329,https://mro-host.herokuapp.com/file_download/?name=baldor2d_034329_right.dxf,right
124957,034329,https://mro-host.herokuapp.com/file_download/?name=baldor2d_034329_top.dxf,top
786643,072386,https://mro-host.herokuapp.com/file_download/?name=baldor2d_072386_front.dxf,front
786643,072386,https://mro-host.herokuapp.com/file_download/?name=baldor2d_072386_right.dxf,right
786643,072386,https://mro-host.herokuapp.com/file_download/?name=baldor2d_072386_top.dxf,top
127666,129819,https://mro-host.herokuapp.com/file_download/?name=baldor2d_INS-GTM-208_front.dxf,front
127666,129819,https://mro-host.herokuapp.com/file_download/?name=baldor2d_INS-GTM-208_right.dxf,right
127666,129819,https://mro-host.herokuapp.com/file_download/?name=baldor2d_INS-GTM-208_top.dxf,top
130173,006124,https://mro-host.herokuapp.com/file_download/?name=baldor2d_006124_front.dxf,front
130173,006124,https://mro-host.herokuapp.com/file_download/?name=baldor2d_006124_right.dxf,right
130173,006124,https://mro-host.herokuapp.com/file_download/?name=baldor2d_006124_top.dxf,top
127775,129763,https://mro-host.herokuapp.com/file_download/?name=baldor2d_129763_front.dxf,front
127775,129763,https://mro-host.herokuapp.com/file_download/?name=baldor2d_129763_right.dxf,right
127775,129763,https://mro-host.herokuapp.com/file_download/?name=baldor2d_129763_top.dxf,top
128400,069361,https://mro-host.herokuapp.com/file_download/?name=baldor2d_069361_front.dxf,front
128400,069361,https://mro-host.herokuapp.com/file_download/?name=baldor2d_069361_right.dxf,right
128400,069361,https://mro-host.herokuapp.com/file_download/?name=baldor2d_069361_top.dxf,top
131704,064689,https://mro-host.herokuapp.com/file_download/?name=baldor2d_064689_front.dxf,front
131704,064689,https://mro-host.herokuapp.com/file_download/?name=baldor2d_064689_right.dxf,right
131704,064689,https://mro-host.herokuapp.com/file_download/?name=baldor2d_064689_top.dxf,top
1291176,077260,https://mro-host.herokuapp.com/file_download/?name=baldor2d_077260_front.dxf,front
1291176,077260,https://mro-host.herokuapp.com/file_download/?name=baldor2d_077260_right.dxf,right
1291176,077260,https://mro-host.herokuapp.com/file_download/?name=baldor2d_077260_top.dxf,top
123711,135125,https://mro-host.herokuapp.com/file_download/?name=baldor2d_135125_front.dxf,front
123711,135125,https://mro-host.herokuapp.com/file_download/?name=baldor2d_135125_right.dxf,right
123711,135125,https://mro-host.herokuapp.com/file_download/?name=baldor2d_135125_top.dxf,top
133299,069707,https://mro-host.herokuapp.com/file_download/?name=baldor2d_069707_front.dxf,front
133299,069707,https://mro-host.herokuapp.com/file_download/?name=baldor2d_069707_right.dxf,right
133299,069707,https://mro-host.herokuapp.com/file_download/?name=baldor2d_069707_top.dxf,top
123721,052275,https://mro-host.herokuapp.com/file_download/?name=baldor2d_052275_front.dxf,front
123721,052275,https://mro-host.herokuapp.com/file_download/?name=baldor2d_052275_right.dxf,right
123721,052275,https://mro-host.herokuapp.com/file_download/?name=baldor2d_052275_top.dxf,top
132215,034234,https://mro-host.herokuapp.com/file_download/?name=baldor2d_034234_front.dxf,front
132215,034234,https://mro-host.herokuapp.com/file_download/?name=baldor2d_034234_right.dxf,right
132215,034234,https://mro-host.herokuapp.com/file_download/?name=baldor2d_034234_top.dxf,top
125539,128700,https://mro-host.herokuapp.com/file_download/?name=baldor2d_128700_front.dxf,front
125539,128700,https://mro-host.herokuapp.com/file_download/?name=baldor2d_128700_right.dxf,right
125539,128700,https://mro-host.herokuapp.com/file_download/?name=baldor2d_128700_top.dxf,top
131586,066461,https://mro-host.herokuapp.com/file_download/?name=baldor2d_066461_front.dxf,front
131586,066461,https://mro-host.herokuapp.com/file_download/?name=baldor2d_066461_right.dxf,right
131586,066461,https://mro-host.herokuapp.com/file_download/?name=baldor2d_066461_top.dxf,top
