id,catalog_number,factors
5071337,216W,Limiting Speed (Grease):2270 rpm|Limiting Speed (Oil):2730 rpm
5071347,218W,Limiting Speed (Grease):2000 rpm|Limiting Speed (Oil):2400 rpm
5072453,1987,K - Factor:1.77 |e - ISO Factor:0.33 |Y - ISO Factor:1.82 |G1 - Heat Generation Factor (Roller-Raceway):12.5 |G2 - Heat Generation Factor (Rib-Roller End):6.33 |Cg - Geometry Factor:0.0565 
5071822,239/710YMBW906A,e - ISO Factor:0.16 |Y0 - ISO Factor:4.13 |Y1 - ISO Factor:6.15 |Y2 - ISO Factor:4.04 |Reference Thermal Speed Rating (Grease):330 |Reference Thermal Speed Rating (Oil):380 |Cg - Geometry Factor:0.1285 
5072896,232/500YMBW33W45AC3,e - ISO Factor:0.36 |Y0 - ISO Factor:1.9 |Y1 - ISO Factor:2.83 |Y2 - ISO Factor:1.86 |Reference Thermal Speed Rating (Grease):250 |Reference Thermal Speed Rating (Oil):260 |Cg - Geometry Factor:0.11 
5072305,99575,K - Factor:1.43 |e - ISO Factor:0.88 |Y - ISO Factor:1.47 |G1 - Heat Generation Factor (Roller-Raceway):555.5 |G2 - Heat Generation Factor (Rib-Roller End):73.5 |Cg - Geometry Factor:0.146 
5072452,1986,K - Factor:1.77 |e - ISO Factor:0.33 |Y - ISO Factor:1.82 |G1 - Heat Generation Factor (Roller-Raceway):12.5 |G2 - Heat Generation Factor (Rib-Roller End):6.33 |Cg - Geometry Factor:0.0565 
5072957,230/530KYMBW507C08,e - ISO Factor:0.21 |Y0 - ISO Factor:3.14 |Y1 - ISO Factor:4.68 |Y2 - ISO Factor:3.07 |Reference Thermal Speed Rating (Grease):460 |Reference Thermal Speed Rating (Oil):530 |Cg - Geometry Factor:0.1083 
5072958,230/530KYMBW507C08C3,e - ISO Factor:0.21 |Y0 - ISO Factor:3.14 |Y1 - ISO Factor:4.68 |Y2 - ISO Factor:3.07 |Reference Thermal Speed Rating (Grease):460 |Reference Thermal Speed Rating (Oil):530 |Cg - Geometry Factor:0.1083 
5072965,23176YMBW507C08C3,e - ISO Factor:0.3 |Y0 - ISO Factor:2.28 |Y1 - ISO Factor:3.39 |Y2 - ISO Factor:2.23 |Reference Thermal Speed Rating (Grease):510 |Reference Thermal Speed Rating (Oil):560 |Cg - Geometry Factor:0.0895 
5072960,230/530KYMBW906AC3,e - ISO Factor:0.21 |Y0 - ISO Factor:3.14 |Y1 - ISO Factor:4.68 |Y2 - ISO Factor:3.07 |Reference Thermal Speed Rating (Grease):460 |Reference Thermal Speed Rating (Oil):530 |Cg - Geometry Factor:0.1083 
5073101,305K,Limiting Speed (Grease):6900 rpm|Limiting Speed (Oil):8050 rpm
5072959,230/530KYMBW906A,e - ISO Factor:0.21 |Y0 - ISO Factor:3.14 |Y1 - ISO Factor:4.68 |Y2 - ISO Factor:3.07 |Reference Thermal Speed Rating (Grease):460 |Reference Thermal Speed Rating (Oil):530 |Cg - Geometry Factor:0.1083 
5073025,220RU92BB1112R3,Reference Thermal Speed Rating (Grease):810 |Reference Thermal Speed Rating (Oil):880 |Cg - Geometry Factor:0.1776 
5073111,S8K,Limiting Speed (Grease):6770 rpm|Limiting Speed (Oil):7900 rpm
5073300,2MM9114WI,Limiting Speed (Grease):11700 rpm|Limiting Speed (Oil):23400 rpm
5073327,2MM9103WI,Limiting Speed (Grease):43100 rpm|Limiting Speed (Oil):86200 rpm
5073285,2MM211WI,Limiting Speed (Grease):14500 rpm|Limiting Speed (Oil):29000 rpm
5073322,MM314K,Limiting Speed (Grease):9900 rpm|Limiting Speed (Oil):19800 rpm
5073366,7217WN,Limiting Speed (Grease):2550 rpm|Limiting Speed (Oil):3400 rpm
5073376,219W,Limiting Speed (Grease):1890 rpm|Limiting Speed (Oil):2260 rpm
5073362,7215WN,Limiting Speed (Grease):2930 rpm|Limiting Speed (Oil):3900 rpm
5073324,2MM9101WI,Limiting Speed (Grease):57300 rpm|Limiting Speed (Oil):114600 rpm
5074797,3199,K - Factor:1.76 |e - ISO Factor:0.33 |Y - ISO Factor:1.8 |G1 - Heat Generation Factor (Roller-Raceway):23.4 |G2 - Heat Generation Factor (Rib-Roller End):8.76 |Cg - Geometry Factor:0.0697 
5075671,230/850YMBW896AC2,e - ISO Factor:0.2 |Y0 - ISO Factor:3.37 |Y1 - ISO Factor:5.02 |Y2 - ISO Factor:3.3 |Reference Thermal Speed Rating (Grease):250 |Reference Thermal Speed Rating (Oil):280 |Cg - Geometry Factor:0.1384 
5075134,3774,K - Factor:1.73 |e - ISO Factor:0.71 |Y - ISO Factor:1.77 |G1 - Heat Generation Factor (Roller-Raceway):49.9 |G2 - Heat Generation Factor (Rib-Roller End):14.5 |Cg - Geometry Factor:0.0903 
5074882,3476,K - Factor:1.6 |e - ISO Factor:0.78 |Y - ISO Factor:1.64 |G1 - Heat Generation Factor (Roller-Raceway):29.9 |G2 - Heat Generation Factor (Rib-Roller End):11.2 |Cg - Geometry Factor:0.0781 
5075960,230/630KYMBW507C08,e - ISO Factor:0.21 |Y0 - ISO Factor:3.18 |Y1 - ISO Factor:4.74 |Y2 - ISO Factor:3.11 |Reference Thermal Speed Rating (Grease):370 |Reference Thermal Speed Rating (Oil):420 |Cg - Geometry Factor:0.1204 
5075973,239/750KYMBW906AC3,e - ISO Factor:0.16 |Y0 - ISO Factor:4.23 |Y1 - ISO Factor:6.3 |Y2 - ISO Factor:4.14 |Reference Thermal Speed Rating (Grease):310 |Reference Thermal Speed Rating (Oil):350 |Cg - Geometry Factor:0.1329 
5075969,23268KYMBW906AC3,e - ISO Factor:0.35 |Y0 - ISO Factor:1.91 |Y1 - ISO Factor:2.84 |Y2 - ISO Factor:1.86 |Reference Thermal Speed Rating (Grease):440 |Reference Thermal Speed Rating (Oil):470 |Cg - Geometry Factor:0.0863 
5075963,23188KYMBW507C08C3,e - ISO Factor:0.3 |Y0 - ISO Factor:2.26 |Y1 - ISO Factor:3.37 |Y2 - ISO Factor:2.21 |Reference Thermal Speed Rating (Grease):410 |Reference Thermal Speed Rating (Oil):450 |Cg - Geometry Factor:0.0984 
5075135,3783,K - Factor:1.73 |e - ISO Factor:0.71 |Y - ISO Factor:1.77 |G1 - Heat Generation Factor (Roller-Raceway):49.9 |G2 - Heat Generation Factor (Rib-Roller End):14.5 |Cg - Geometry Factor:0.0903 
5075967,23268KYMBW507C08C3,e - ISO Factor:0.35 |Y0 - ISO Factor:1.91 |Y1 - ISO Factor:2.84 |Y2 - ISO Factor:1.86 |Reference Thermal Speed Rating (Grease):440 |Reference Thermal Speed Rating (Oil):470 |Cg - Geometry Factor:0.0863 
5076130,308K,Limiting Speed (Grease):4620 rpm|Limiting Speed (Oil):5380 rpm
