id,catalog_number,abutment_and_fillet_dimensions
5061218,5304K,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:25.400 mm 1.000 in|Da - Outer Ring Backing Diameter:44.700 mm 1.760 in"
5061254,MM214K,"R - Inner Ring ""To Clear"" Radius:1.500 mm 0.059 in|r - Outer Ring ""To Clear"" Radius:1.500 mm 0.059 in|da - Inner Ring Backing Diameter:80.300 mm 3.160 in|Da - Outer Ring Backing Diameter:115.800 mm 4.560 in"
5061236,7202W,"R - Inner Ring ""To Clear"" Radius:0.600 mm 0.024 in|r - Outer Ring ""To Clear"" Radius:0.600 mm 0.024 in|da - Inner Ring Backing Diameter:22.440 mm 0.8836 in|Da - Outer Ring Backing Diameter:29.440 mm 1.159 in"
5061302,2MM214WI,"R - Inner Ring ""To Clear"" Radius:1.500 mm 0.059 in|r - Outer Ring ""To Clear"" Radius:1.500 mm 0.059 in|da - Inner Ring Backing Diameter:80.300 mm 3.160 in|Da - Outer Ring Backing Diameter:115.800 mm 4.560 in"
5061315,7307WN,"R - Inner Ring ""To Clear"" Radius:1.500 mm 0.059 in|r - Outer Ring ""To Clear"" Radius:1.500 mm 0.059 in|da - Inner Ring Backing Diameter:42.900 mm 1.690 in|Da - Outer Ring Backing Diameter:71.100 mm 2.800 in"
5061280,5310W,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.079 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.079 in|da - Inner Ring Backing Diameter:61.722 mm 2.430 in|Da - Outer Ring Backing Diameter:99.873 mm 3.932 in"
5061278,5310K,"R - Inner Ring ""To Clear"" Radius:2.000 mm 0.079 in|r - Outer Ring ""To Clear"" Radius:2.000 mm 0.079 in|da - Inner Ring Backing Diameter:61.722 mm 2.430 in|Da - Outer Ring Backing Diameter:97.663 mm 3.845 in"
5061312,7306WN,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:47.240 mm 1.860 in|Da - Outer Ring Backing Diameter:57.400 mm 2.2600 in"
5061269,5308W,"R - Inner Ring ""To Clear"" Radius:1.500 mm 0.059 in|r - Outer Ring ""To Clear"" Radius:1.500 mm 0.059 in|da - Inner Ring Backing Diameter:49.911 mm 1.965 in|Da - Outer Ring Backing Diameter:79.375 mm 3.125 in"
5061307,7304WN,"R - Inner Ring ""To Clear"" Radius:1.100 mm 0.043 in|r - Outer Ring ""To Clear"" Radius:1.100 mm 0.043 in|da - Inner Ring Backing Diameter:23.900 mm 0.940 in|Da - Outer Ring Backing Diameter:45.000 mm 1.770 in"
