id,catalog_number,additional_description
2936975,14MPCC432690,14MPCC-4326-90
2936971,8MPCC360012,8MPCC-3600-12
2937023,8MPCC220036,8MPCC-2200-36
2937062,8MPCC176062,8MPCC-1760-62
833175,W734,nan
2937029,14MPCC266020,14MPCC-2660-20
2937057,14MPCC245068,14MPCC-2450-68
2937065,SS150118,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2937053,14MPCC330490,14MPCC-3304-90
2937047,14MPCC231068,14MPCC-2310-68
2937055,8MPCC100062,8MPCC-1000-62
2937067,8MPCC400062,8MPCC-4000-62
2937032,14MPCC385037,14MPCC-3850-37
2937048,14MPCC266037,14MPCC-2660-37
337951,P4,Sure-Grip® Bushing
339701,AL100118,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
339725,AL09012NK,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
341164,AL09512NK,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
341521,AL10078,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
341558,AL150114,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
337201,AL09034,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
337312,AL095118,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
337845,P7,Sure-Grip® Bushing
337920,AL0951,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
338267,AL150138,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
339706,AL07012NK,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
339710,AL07512,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
337355,AL150134,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
339822,AL150158,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
337743,AL100138,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
337934,M3,Sure-Grip® Bushing
337970,M5,Sure-Grip® Bushing
341144,AL110138,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
341539,AL150178,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
341530,AL110114,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
341535,AL110118,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
339656,AL100114,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
339672,AL09578,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
339728,AL07578,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
339844,L150U,nan
337846,P6,Sure-Grip® Bushing
338881,AL07512NK,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
339703,AL07034,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
