id;catalog_number;description;add_descr;attributes
2887752;HDC-SH-2436-95;Durham HDC-SH-2436-95 HDC CAB SHELF 20 27/32^ X 33 15/16^ #95 GRAY;nan;nan
2887756;HDC-SH-2472-95;Durham HDC-SH-2472-95 HDC CAB SHELF 20 27/32^ X 69 15/16^ #95 GRAY;nan;nan
2887760;HDCV36-12B-2S1795;Durham HDCV36-12B-2S1795 12G-HDC VENTILATED 24X36X78 BLP12B #17 2S 6^BA CH 95;nan;nan
2887764;HDCV36-30B-5295;Durham HDCV36-30B-5295 12G-HDC VENTILATED 24X36X78 BLP 30B #52 6^BA CH 95;nan;nan
2887768;HDCV36-6B-3S95;Durham HDCV36-6B-3S95 12G-HDC VENTILATED 24X36X78BLP 6B 3S 6^BA CH 95;nan;nan
2887772;HDCV48-24B-2S1795;Durham HDCV48-24B-2S1795 12G-HDC VENTILATED 24X48X78 BLP 24B #17 2S 6^BA CH 95;nan;nan
2887776;HDCV48-42B-5295;Durham HDCV48-42B-5295 12G-HDC VENTILATED 24X48X78 BLP 42B #52 6^BA CH 95;nan;nan
2887780;HDCV60-12B-3S95;Durham HDCV60-12B-3S95 12G-HDC VENTILATED 24X60X78 BLP 3B 3S 6^BA CH 95;nan;nan
2887788;HDDS246066-6S95;Durham HDDS246066-6S95 12G-HDC DBL SHFT 24X60X66 6S 6^BA CH 95;nan;nan
2887792;HDJ36-12DC24TB4S95;Durham HDJ36-12DC24TB4S95 HDC JANITORIAL BLP 36X36X78 12PB 24TB 4S 6^BA CH #95;nan;nan
2887796;HDJC244878-156-4S5295;Durham HDJC244878-156-4S5295 12G-HDC JANITORIAL BDLP 24X48X78 156B 4S 6^BA CH #52 BINS 95;nan;nan
2887800;HDS-1848-95;Durham HDS-1848-95 HEAVY DUTY SHELVING SHELF ONLY 18X48 #95 GRAY;nan;nan
2887804;HDS-HUP-96;Durham HDS-HUP-96 96^ HDS UPRIGHT;nan;nan
2887808;HDWB-3660-95;Durham HDWB-3660-95 HVY DTY WK BCH 36X60X34 #95 GRAY;nan;nan
2887816;HDWC246078-7M95;Durham HDWC246078-7M95 12G-HDC WARDROBE 7DR MID 24X60X78 2S 6^BA CH 95;nan;nan
2887820;HET-2448-2-5K-95;Durham HET-2448-2-5K-95 2SC 24X48 5K LD 8PH RS 95;nan;nan
2887824;HET-3048-2-95;Durham HET-3048-2-95 2SC 30X48 4K SH LD 6PH RS 95;nan;nan
2887828;HET-3060-3-5K-95;Durham HET-3060-3-5K-95 3SC 30X60 5K SH LD 8PH RS 95;nan;nan
2887832;HET-3672-3-5K-95;Durham HET-3672-3-5K-95 3SC 36X72 5K SH LD 8PH RS 95;nan;nan
2887836;HMT-2436-3-95;Durham HMT-2436-3-95 3SC 24X36 1.2K LD 5PU RS 95;nan;nan
2887840;HMT-3048-3-95;Durham HMT-3048-3-95 3SC 30X48 1.2K LD 5PU RS 95;nan;nan
2887844;HMT-3672-3-95;Durham HMT-3672-3-95 3SC 36X72 1.2K LD 5PU RS 95;nan;nan
2887848;HTL-3060-DD-95;Durham HTL-3060-DD-95 SEC TRK 30X60 2K 6PH RS 95;nan;nan
2887852;HTLS-3048-DD-95;Durham HTLS-3048-DD-95 SEC TRK SOLID 30X48 2K 6PH RS 95;nan;nan
2887856;HTLS-4474-DD-95;Durham HTLS-4474-DD-95 SEC TRK SOLID 44X74 2K 6PH RS 95;nan;nan
